timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-11-28T00:00:00.000Z";"2022-12-04T23:59:59.999Z";"2022-12-01T13:35:00.000Z";"2022-11-28T16:22:00.000Z";"2781";16440.2220878988;17197.4972534447;16054.5302153408;17130.4859472168;156325682750.17;329323845088.74;"2022-12-04T23:59:59.999Z"
"2022-11-21T00:00:00.000Z";"2022-11-27T23:59:59.999Z";"2022-11-24T02:04:00.000Z";"2022-11-21T21:53:00.000Z";"2781";16291.223799579;16771.4752431789;15599.0471753829;16444.6268345485;184366390569.77;316040534591.72;"2022-11-27T23:59:59.999Z"
"2022-11-14T00:00:00.000Z";"2022-11-20T23:59:59.999Z";"2022-11-14T13:31:00.000Z";"2022-11-14T06:01:00.000Z";"2781";16352.0285634204;17109.323354055;15872.9416126748;16291.8324676929;212305926999.02;313012826679.9;"2022-11-20T23:59:59.999Z"
"2022-11-07T00:00:00.000Z";"2022-11-13T23:59:59.999Z";"2022-11-07T02:18:00.000Z";"2022-11-09T23:38:00.000Z";"2781";20924.6204840491;21053.2461495293;15682.6928427807;16353.3657171761;471409252760;314093257178.25;"2022-11-13T23:59:59.999Z"
"2022-10-31T00:00:00.000Z";"2022-11-06T23:59:59.999Z";"2022-11-05T04:22:00.000Z";"2022-11-03T12:51:00.000Z";"2781";20633.6960710953;21446.8860966908;20086.2409033906;20926.4859738215;321270158406.66;401792318391.34;"2022-11-06T23:59:59.999Z"
"2022-10-24T00:00:00.000Z";"2022-10-30T23:59:59.999Z";"2022-10-29T10:24:00.000Z";"2022-10-24T14:28:00.000Z";"2781";19567.7695803849;20988.3944704236;19206.3243067081;20635.6037476843;302335723764.82;396075135322.21;"2022-10-30T23:59:59.999Z"
"2022-10-17T00:00:00.000Z";"2022-10-23T23:59:59.999Z";"2022-10-18T06:46:00.000Z";"2022-10-21T12:26:00.000Z";"2781";19268.5621023075;19666.9950059677;18770.9700605115;19567.0073980529;175664450104.28;375444263357.02;"2022-10-23T23:59:59.999Z"
"2022-10-10T00:00:00.000Z";"2022-10-16T23:59:59.999Z";"2022-10-14T01:58:00.000Z";"2022-10-13T13:20:00.000Z";"2781";19446.4162251338;19889.1462709754;18319.8226296141;19268.0928008619;197940078442.86;369584293835.81;"2022-10-16T23:59:59.999Z"
"2022-10-03T00:00:00.000Z";"2022-10-09T23:59:59.999Z";"2022-10-06T02:11:00.000Z";"2022-10-03T00:08:00.000Z";"2781";19044.0678498115;20408.3918398816;19025.2262854468;19446.4261941327;196809212801.14;372876821416.38;"2022-10-09T23:59:59.999Z"
"2022-09-26T00:00:00.000Z";"2022-10-02T23:59:59.999Z";"2022-09-27T12:52:00.000Z";"2022-09-28T02:44:00.000Z";"2781";18803.9006328979;20338.4554611365;18553.2973576077;19044.1072723711;280290121526.47;365024821953.69;"2022-10-02T23:59:59.999Z"
"2022-09-19T00:00:00.000Z";"2022-09-25T23:59:59.999Z";"2022-09-21T18:01:00.000Z";"2022-09-21T22:20:00.000Z";"2781";19418.5714215096;19674.6303314785;18290.315188225;18802.0979756765;252873598364.81;360259346858.07;"2022-09-25T23:59:59.999Z"
"2022-09-12T00:00:00.000Z";"2022-09-18T23:59:59.999Z";"2022-09-13T12:26:00.000Z";"2022-09-18T22:32:00.000Z";"2781";21770.1481330587;22673.8197662856;19387.4913478311;19419.506190767;261900187495.91;371970445843.4;"2022-09-18T23:59:59.999Z"
"2022-09-05T00:00:00.000Z";"2022-09-11T23:59:59.999Z";"2022-09-11T23:58:00.000Z";"2022-09-07T03:03:00.000Z";"2781";19988.7898184332;21770.5531906344;18644.4672270585;21769.2563395567;259528892947.78;416840289162.08;"2022-09-11T23:59:59.999Z"
"2022-08-29T00:00:00.000Z";"2022-09-04T23:59:59.999Z";"2022-08-30T07:36:00.000Z";"2022-08-29T00:22:00.000Z";"2781";19615.1533628598;20542.644969648;19600.7850348256;19986.71383922;208511390278.66;382576542382.13;"2022-09-04T23:59:59.999Z"
"2022-08-22T00:00:00.000Z";"2022-08-28T23:59:59.999Z";"2022-08-26T13:07:00.000Z";"2022-08-28T23:59:00.000Z";"2781";21531.4638488066;21804.9080080991;19616.8149844439;19616.8149844439;223346042307.64;375367382007.85;"2022-08-28T23:59:59.999Z"
"2022-08-15T00:00:00.000Z";"2022-08-21T23:59:59.999Z";"2022-08-15T03:19:00.000Z";"2022-08-20T21:03:00.000Z";"2781";24318.3154830385;25135.5903960686;20856.7313355791;21534.1212308142;208764012537.05;411906673576.29;"2022-08-21T23:59:59.999Z"
"2022-08-08T00:00:00.000Z";"2022-08-14T23:59:59.999Z";"2022-08-14T07:51:00.000Z";"2022-08-10T00:50:00.000Z";"2781";23179.5270499854;24974.9142088493;22771.520469829;24319.3339226;195343016899.79;465024405299.05;"2022-08-14T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-07T23:59:59.999Z";"2022-08-03T12:22:00.000Z";"2022-08-04T20:02:00.000Z";"2781";23336.7180518604;23578.650444504;22485.7006555715;23175.8908490806;166393135564.39;443014963855.4;"2022-08-07T23:59:59.999Z"
"2022-07-25T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-30T15:49:00.000Z";"2022-07-26T15:56:00.000Z";"2781";22607.1555467717;24572.5794217469;20776.8160824806;23336.8956049843;223759636595.15;445941074223.04;"2022-07-31T23:59:59.999Z"
"2022-07-18T00:00:00.000Z";"2022-07-24T23:59:59.999Z";"2022-07-20T15:38:00.000Z";"2022-07-18T00:00:00.000Z";"2781";20781.9115039967;24196.8192139777;20781.9115039967;22609.164770669;244312089707.9;431888879541.1;"2022-07-24T23:59:59.999Z"
"2022-07-11T00:00:00.000Z";"2022-07-17T23:59:59.999Z";"2022-07-17T07:13:00.000Z";"2022-07-13T13:34:00.000Z";"2781";20856.352967685;21600.6401193599;18999.953131779;20779.3445398509;187297974218.51;396808327004.88;"2022-07-17T23:59:59.999Z"
"2022-07-04T00:00:00.000Z";"2022-07-10T23:59:59.999Z";"2022-07-08T01:31:00.000Z";"2022-07-04T03:04:00.000Z";"2781";19297.3141855828;22314.9405374086;19063.0661953686;20860.4493930623;206953871022.19;398237577323.43;"2022-07-10T23:59:59.999Z"
"2022-06-27T00:00:00.000Z";"2022-07-03T23:59:59.999Z";"2022-06-27T09:01:00.000Z";"2022-06-30T20:55:00.000Z";"2781";21028.2382267284;21478.0893638064;18729.6562279337;19297.0760827928;157426002964.92;368272636367.55;"2022-07-03T23:59:59.999Z"
"2022-06-20T00:00:00.000Z";"2022-06-26T23:59:59.999Z";"2022-06-26T12:17:00.000Z";"2022-06-20T01:52:00.000Z";"2781";20553.3702544391;21783.7247658329;19689.1695110104;21027.2953088067;175909056121.98;401157940864.2;"2022-06-26T23:59:59.999Z"
"2022-06-13T00:00:00.000Z";"2022-06-19T23:59:59.999Z";"2022-06-13T00:37:00.000Z";"2022-06-18T20:56:00.000Z";"2781";26737.5776601486;26795.5898175946;17708.6237125896;20553.2718217472;309685915250.09;391988917193.6;"2022-06-19T23:59:59.999Z"
"2022-06-06T00:00:00.000Z";"2022-06-12T23:59:59.999Z";"2022-06-06T14:38:00.000Z";"2022-06-12T23:59:00.000Z";"2781";29910.2837235964;31693.2901114808;26762.6490379039;26762.6490379039;215929645934.32;510252464820.78;"2022-06-12T23:59:59.999Z"
"2022-05-30T00:00:00.000Z";"2022-06-05T23:59:59.999Z";"2022-05-31T16:46:00.000Z";"2022-05-30T00:58:00.000Z";"2781";29443.3657109831;32249.8639341789;29303.571633074;29906.6617477915;203063587161.13;569996838236.88;"2022-06-05T23:59:59.999Z"
"2022-05-23T00:00:00.000Z";"2022-05-29T23:59:59.999Z";"2022-05-23T07:35:00.000Z";"2022-05-26T13:31:00.000Z";"2781";30309.3964800086;30590.5864837253;28261.9057088448;29445.9576239208;196327562570.7;561034743433.25;"2022-05-29T23:59:59.999Z"
"2022-05-16T00:00:00.000Z";"2022-05-22T23:59:59.999Z";"2022-05-16T00:01:00.000Z";"2022-05-19T02:14:00.000Z";"2781";31304.374144248;31305.3425986839;28708.9550418266;30323.7218952694;196429842102.77;577568895835.72;"2022-05-22T23:59:59.999Z"
"2022-05-09T00:00:00.000Z";"2022-05-15T23:59:59.999Z";"2022-05-09T01:22:00.000Z";"2022-05-12T07:19:00.000Z";"2781";34060.0154816197;34222.0733234167;26350.4901742248;31305.1125686764;357800928091.02;596074575228.33;"2022-05-15T23:59:59.999Z"
"2022-05-02T00:00:00.000Z";"2022-05-08T23:59:59.999Z";"2022-05-04T19:19:00.000Z";"2022-05-08T17:40:00.000Z";"2781";38472.1871454262;39902.9502136511;33878.9645692059;34059.2642505879;239044762282.93;648302121215.01;"2022-05-08T23:59:59.999Z"
"2022-04-25T00:00:00.000Z";"2022-05-01T23:59:59.999Z";"2022-04-26T08:25:00.000Z";"2022-05-01T01:38:00.000Z";"2781";39472.607372297;40713.8895679717;37585.7873728754;38469.0939025425;216681007567.2;731986764311.88;"2022-05-01T23:59:59.999Z"
"2022-04-18T00:00:00.000Z";"2022-04-24T23:59:59.999Z";"2022-04-21T13:38:00.000Z";"2022-04-18T05:07:00.000Z";"2781";39721.2029153003;42893.5802043813;38696.1915182274;39469.293555834;184314843516.7;750755023763.86;"2022-04-24T23:59:59.999Z"
"2022-04-11T00:00:00.000Z";"2022-04-17T23:59:59.999Z";"2022-04-11T01:28:00.000Z";"2022-04-11T22:13:00.000Z";"2781";42201.0382303314;42424.5910371138;39373.0583284502;39716.9542258357;174652159708.66;755201997822.58;"2022-04-17T23:59:59.999Z"
"2022-04-04T00:00:00.000Z";"2022-04-10T23:59:59.999Z";"2022-04-05T12:38:00.000Z";"2022-04-10T22:53:00.000Z";"2781";46445.2716196297;47106.1397405311;42021.2068019349;42207.670963734;188557001876.86;802293412896.68;"2022-04-10T23:59:59.999Z"
"2022-03-28T00:00:00.000Z";"2022-04-03T23:59:59.999Z";"2022-03-28T19:36:00.000Z";"2022-04-01T02:58:00.000Z";"2781";46821.8502469343;48086.8367491568;44403.1410093413;46453.5670763172;223334181931.75;882703992270.53;"2022-04-03T23:59:59.999Z"
"2022-03-21T00:00:00.000Z";"2022-03-27T23:59:59.999Z";"2022-03-27T23:56:00.000Z";"2022-03-21T02:41:00.000Z";"2781";41246.1328484777;46827.5461945489;40668.0416965467;46820.4934636771;188591889758.23;889385706663.3;"2022-03-27T23:59:59.999Z"
"2022-03-14T00:00:00.000Z";"2022-03-20T23:59:59.999Z";"2022-03-19T21:41:00.000Z";"2022-03-14T00:16:00.000Z";"2781";37846.3164396237;42316.5544604012;37680.7344675775;41247.8234468342;184097042034.44;783260570383.75;"2022-03-20T23:59:59.999Z"
"2022-03-07T00:00:00.000Z";"2022-03-13T23:59:59.999Z";"2022-03-09T16:03:00.000Z";"2022-03-07T20:05:00.000Z";"2781";38429.3027830169;42465.6729111805;37260.2017138385;37849.6627995273;175966999155.82;718481905385.96;"2022-03-13T23:59:59.999Z"
"2022-02-28T00:00:00.000Z";"2022-03-06T23:59:59.999Z";"2022-03-02T15:04:00.000Z";"2022-02-28T00:59:00.000Z";"2781";37706.0012666457;45077.5769494305;37518.2146036468;38419.9833773926;187557375749.83;729062407067.33;"2022-03-06T23:59:59.999Z"
"2022-02-21T00:00:00.000Z";"2022-02-27T23:59:59.999Z";"2022-02-26T00:44:00.000Z";"2022-02-24T05:47:00.000Z";"2781";38423.2098719156;40005.3487264337;34459.2177282867;37709.7837534329;190469710083.08;715351995827.55;"2022-02-27T23:59:59.999Z"
"2022-02-14T00:00:00.000Z";"2022-02-20T23:59:59.999Z";"2022-02-15T23:49:00.000Z";"2022-02-20T14:23:00.000Z";"2781";42157.3991531626;44667.2169798202;38112.813944195;38431.3781154647;144975794550.83;728812385562.03;"2022-02-20T23:59:59.999Z"
"2022-02-07T00:00:00.000Z";"2022-02-13T23:59:59.999Z";"2022-02-10T17:19:00.000Z";"2022-02-07T00:50:00.000Z";"2781";42406.7813264058;45661.1731433747;41748.1553115415;42197.5153405276;176958095731.48;799950408997.29;"2022-02-13T23:59:59.999Z"
"2022-01-31T00:00:00.000Z";"2022-02-06T23:59:59.999Z";"2022-02-06T23:46:00.000Z";"2022-02-03T10:31:00.000Z";"2781";37920.2809909723;42500.7869325403;36375.5373396971;42412.4342359174;143977109317.75;803744511638.35;"2022-02-06T23:59:59.999Z"
"2022-01-24T00:00:00.000Z";"2022-01-30T23:59:59.999Z";"2022-01-26T19:10:00.000Z";"2022-01-24T11:07:00.000Z";"2781";36275.7329481249;38825.4086928912;33184.0595656615;37917.60273361;178727434895.36;718325967803.39;"2022-01-30T23:59:59.999Z"
"2022-01-17T00:00:00.000Z";"2022-01-23T23:59:59.999Z";"2022-01-20T16:07:00.000Z";"2022-01-22T10:14:00.000Z";"2781";43118.1201015099;43413.0239423642;34349.2491949516;36276.8046943699;196326044072.3;687012848062.33;"2022-01-23T23:59:59.999Z"
"2022-01-10T00:00:00.000Z";"2022-01-16T23:59:59.999Z";"2022-01-13T14:41:00.000Z";"2022-01-10T14:37:00.000Z";"2781";41910.2308272178;44278.4232566127;39796.571708349;43113.8801137778;199473804542.78;816211499220.99;"2022-01-16T23:59:59.999Z"
"2022-01-03T00:00:00.000Z";"2022-01-09T23:59:59.999Z";"2022-01-03T12:19:00.000Z";"2022-01-08T18:13:00.000Z";"2781";47343.543765149;47510.7261749285;40672.2754483568;41911.6015363357;276182787150.88;793156354744;"2022-01-09T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2022-01-02T23:59:59.999Z";"2021-12-27T17:43:02.000Z";"2021-12-31T20:01:00.000Z";"2781";50802.6089327853;51956.3263547044;45819.9545532818;47345.220564253;203998848910.13;895688387523.14;"2022-01-02T23:59:59.999Z"
