signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
SELL,2023-04-03,2023-04-11,27800.0,30200.42,27800.0,,0.0,-8.634604316546756,0,,8.0,236.35549262555287,243.3956666291253,-7.040174003572417
BUY,2023-04-11,2023-04-17,30200.42,29430.27,30466.93,0.8824711709307422,,-2.550130097528438,3,6.0,,206.75581513235375,206.53081874258075,0.22499638977299696
SELL,2023-04-17,2023-05-28,29430.27,28065.0,26329.01,,10.537653918907308,4.638999234461663,37,,41.0,216.50566765307303,219.52402629584685,-3.018358642773819
BUY,2023-05-28,2023-06-05,28065.0,25728.2,28065.0,0.0,,-8.326385177267056,0,8.0,,-63.84476177473698,-77.73980971579901,13.895047941062032
SELL,2023-06-05,2023-06-06,25728.2,27230.08,25728.2,,0.0,-5.837485716062534,0,,1.0,-51.39766257041629,-47.76448772010416,-3.6331748503121304
BUY,2023-06-06,2023-06-07,27230.08,26339.34,27230.08,0.0,,-3.271161891555227,0,1.0,,-44.78263228592186,-47.1681166332677,2.3854843473458374
SELL,2023-06-07,2023-06-17,26339.34,26516.99,25128.6,,4.596698322737022,-0.6744664065234796,7,,10.0,-50.57573668443729,-47.84964064350162,-2.7260960409356656
BUY,2023-06-17,2023-07-07,26516.99,30344.7,31156.2,17.495236073174215,,14.434933980063343,16,20.0,,-74.11145303894227,-74.9012744422051,0.7898214032628204
SELL,2023-07-07,2023-08-09,30344.7,29581.99,29072.13,,4.193714223571166,2.5134867044327316,29,,33.0,173.9198420550747,180.11494357627765,-6.195101521202957
BUY,2023-08-09,2023-08-16,29581.99,28730.51,29581.99,0.0,,-2.878372955977617,0,7.0,,-20.998284030738432,-21.955048911027067,0.9567648802886346
SELL,2023-08-16,2023-08-29,28730.51,27716.34,26017.37,,9.44341050680966,3.5299408190108643,10,,13.0,-24.44841916488076,-19.437690441886833,-5.010728722993928
BUY,2023-08-29,2023-10-12,27716.34,26759.63,27992.57,0.9966323114812402,,-3.451790532227556,33,44.0,,-155.63974491307454,-159.24628181709124,3.606536904016707
SELL,2023-10-12,2023-10-16,26759.63,28500.78,26759.63,,0.0,-6.506629575969465,0,,4.0,38.65073529322035,46.745029710270785,-8.094294417050435
BUY,2023-10-16,2023-11-08,28500.78,35624.72,35624.72,24.995596611741863,,24.995596611741863,23,23.0,,37.920982465126144,36.49240089532835,1.4285815697977924
SELL,2023-11-08,2023-11-09,35624.72,36701.09,35624.72,,0.0,-3.0214132209319686,0,,1.0,360.73885718950623,363.5897000506749,-2.850842861168644
BUY,2023-11-09,2023-11-13,36701.09,36462.93,37301.63,1.6363001752809,,-0.6489180566571626,1,4.0,,367.56502950991126,364.38476594252217,3.1802635673890904
SELL,2023-11-13,2023-12-03,36462.93,39972.26,35551.19,,2.5004573137704456,-9.624377415638298,1,,20.0,366.30928490171937,370.5589457482193,-4.249660846499921
BUY,2023-12-03,2023-12-13,39972.26,42869.03,44170.99,10.504109600007594,,7.246950760352296,5,10.0,,236.0964743051809,229.87434090989598,6.222133395284914
SELL,2023-12-13,2024-01-08,42869.03,46951.04,41374.65,,3.4859197887145976,-9.522048901036488,4,,26.0,368.05948346084915,369.30395463504,-1.244471174190835
BUY,2024-01-08,2024-01-12,46951.04,42782.73,46951.04,0.0,,-8.877992904949492,0,4.0,,182.39965222456522,165.6476158538727,16.752036370692508
SELL,2024-01-12,2024-01-29,42782.73,43302.7,39568.02,,7.514036621786422,-1.2153735864915443,10,,17.0,185.9421501956458,189.44260472674512,-3.500454531099308
BUY,2024-01-29,2024-02-25,43302.7,51728.85,52258.82,20.682590231094142,,19.45871735480698,22,27.0,,-78.56386456709151,-85.27806221421208,6.714197647120571
SELL,2024-02-25,2024-02-26,51728.85,54476.47,51728.85,,0.0,-5.311581448263402,0,,1.0,432.14988575776806,436.28115659004294,-4.131270832274879
BUY,2024-02-26,2024-03-16,54476.47,65300.63,73072.41,34.135728691671844,,19.869422523155404,16,19.0,,454.61852249036747,439.94862977010786,14.669892720259611
SELL,2024-03-16,2024-05-06,65300.63,63165.19,58364.97,,10.621122644605414,3.2701675313086493,46,,51.0,980.7891204492043,1032.8110617920418,-52.02194134283741
BUY,2024-05-06,2024-05-11,63165.19,60825.99,63165.19,0.0,,-3.703305570679047,0,5.0,,-210.6593830210768,-221.43392898707955,10.774545966002762
SELL,2024-05-11,2024-05-13,60825.99,62940.08,60825.99,,0.0,-3.475635990470527,0,,2.0,-219.68702143831615,-214.8710243364536,-4.815997101862564
BUY,2024-05-13,2024-06-01,62940.08,67766.85,71446.62,13.515298995489033,,7.668833595381519,7,19.0,,-192.24417737687327,-210.5390595297539,18.294882152880632
SELL,2024-06-01,2024-06-04,67766.85,70537.84,67765.63,,0.001800290259914935,-4.089005169931892,1,,3.0,221.22950318093353,230.6066940716187,-9.37719089068517
